"charset","UTF-8"
"FOXRATE_REVIEWS","Valutazione"
"FOXRATE_PROS","Positivo:"
"FOXRATE_CONS","Negativo:"
"FOXRATE_CONCLUSION","Conclusione:"
"FOXRATE_ABUSE","Segnala abuso"
"FOXRATE_THANKS","Grazie per la valutazione!"
"FOXRATE_COMMENT","Commento: "
"FOXRATE_YES","Si"
"FOXRATE_NO","No"
"FOXRATE_WAS_HELPFUL","Ha trovato la valutazione utile?"
"FOXRATE_POWERED","realizzato da:"
"FOXRATE_STARS","Stelle"
"FOXRATE_IMPRESSION","Impressione generale:"
"FOXRATE_SHOWALL","Mostra tutto"
"FOXRATE_OF","di"
"FOXRATE_RECCOMEND","raccomandato"
"FOXRATE_WRITE_REV","Scrivi una valutazione"
"FOXRATE_READ_REV","Leggi valutazioni"
"FOXRATE_PRODUCT_REVS","Valutazioni Prodotto"
"FOXRATE_SORTING","Selezione"
"FOXRATE_VALUE_FOR_MONEY","Rapporto qualita\'-prezzo:"
"FOXRATE_QUALITY","Qualita:"
"FOXRATE_GO","Cerca"
"FOXRATE_REOMMEND2","Consiglieresti questo prodotto"
"FOXRATE_FROM","da"
"FOXRATE_OF_FIVE"," / 5"
"FOXRATE_VALUE_FOR_MONEY_NOT_ENOUGH",""
"FOXRATE_PAGES","Pagine"
"FOXRATE_REVIEW_BY","Recensione di:"
"FOXRATE_POSTED_ON","Pubblicato il"
"FOXRATE_YES","Si"
"FOXRATE_NO","No"
"FOXRATE_STAR","Stella"
