"charset","UTF-8"
"FOXRATE_REVIEWS","Reviews"
"FOXRATE_PROS","Pros:"
"FOXRATE_CONS","Cons:"
"FOXRATE_CONCLUSION","Conclusion:"
"FOXRATE_ABUSE","Report abuse"
"FOXRATE_THANKS","Thank you for your feedback"
"FOXRATE_COMMENT","Comment: "
"FOXRATE_YES","Yes"
"FOXRATE_NO","No"
"FOXRATE_WAS_HELPFUL","Did you find this rating helpful?"
"FOXRATE_POWERED","powered by"
"FOXRATE_STARS","Stars"
"FOXRATE_IMPRESSION","Overall Impression:"
"FOXRATE_SHOWALL","Show all"
"FOXRATE_OF","of"
"FOXRATE_RECCOMEND","users would recommend"
"FOXRATE_WRITE_REV","Write Review"
"FOXRATE_READ_REV","Read Reviews"
"FOXRATE_PRODUCT_REVS","Product Reviews"
"FOXRATE_SORTING","Sorting"
"FOXRATE_VALUE_FOR_MONEY","Value for money:"
"FOXRATE_QUALITY","Quality:"
"FOXRATE_GO","Go"
"FOXRATE_REOMMEND2","would recommend this product"
"FOXRATE_FROM","from"
"FOXRATE_OF_FIVE"," / 5"
"FOXRATE_VALUE_FOR_MONEY_NOT_ENOUGH","Not enough to count value for money"
"FOXRATE_PAGES","Pages"
"FOXRATE_REVIEW_BY","Review by"
"FOXRATE_POSTED_ON","Posted on"
"FOXRATE_YES","Yes"
"FOXRATE_NO","No"
"FOXRATE_STAR","Star"
