"charset","UTF-8"
"FOXRATE_REVIEWS","Bewertungen"
"FOXRATE_PROS","Pros:"
"FOXRATE_CONS","Kontras:"
"FOXRATE_CONCLUSION","Fazit:"
"FOXRATE_ABUSE","Missbrauch melden"
"FOXRATE_THANKS","Vielen Dank für Ihre Bewertung"
"FOXRATE_COMMENT","Kommentar: "
"FOXRATE_YES","Ja"
"FOXRATE_NO","Nein"
"FOXRATE_WAS_HELPFUL","Fanden Sie diese Bewertung hilfreich?"
"FOXRATE_POWERED","bereitgestellt von"
"FOXRATE_STARS","Sterne"
"FOXRATE_IMPRESSION","Gesamteindruck:"
"FOXRATE_SHOWALL","Alle anzeigen"
"FOXRATE_OF","von"
"FOXRATE_RECCOMEND","Weiterempfehlungsrate"
"FOXRATE_WRITE_REV","Bewertung schreiben"
"FOXRATE_READ_REV","Bewertungen lesen"
"FOXRATE_PRODUCT_REVS","Produktbewertungen"
"FOXRATE_SORTING","Sortierung"
"FOXRATE_VALUE_FOR_MONEY","Preis-Leistungsverhältnis:"
"FOXRATE_QUALITY","Qualität:"
"FOXRATE_GO","Suchen"
"FOXRATE_REOMMEND2","Ich würde dieses Produkt weiterempfehlen"
"FOXRATE_FROM","von"
"FOXRATE_OF_FIVE"," / 5"
"FOXRATE_VALUE_FOR_MONEY_NOT_ENOUGH",""
"FOXRATE_PAGES","Seite"
"FOXRATE_REVIEW_BY","Bewertung von:"
"FOXRATE_POSTED_ON","Geschrieben am"
"FOXRATE_YES","Ja"
"FOXRATE_NO","Nein"
"FOXRATE_STAR","Stern"
